"LAT","LON","YEAR","MO","DY","WS50M","QV2M","ALLSKY_SFC_UV_INDEX","Date","predicted_power_usage","date"
-34.25,18.75,2020,1,1,7.51,10.53,3.26,2020-01-01,2.39433116350395,2020-01-01
-34.25,19.25,2020,1,1,5.98,10.11,3.09,2020-01-01,2.35059565274813,2020-01-01
-34.25,19.75,2020,1,1,5.46,10.08,3.09,2020-01-01,2.36109171046969,2020-01-01
-33.75,18.75,2020,1,1,6.86,9.55,3.25,2020-01-01,2.1954491982219,2020-01-01
-33.75,19.25,2020,1,1,4.96,8.89,3.38,2020-01-01,2.10999894776542,2020-01-01
-33.75,19.75,2020,1,1,4.67,8.84,3.38,2020-01-01,2.10836907575795,2020-01-01
-33.75,20.25,2020,1,1,4.7,9.09,3.38,2020-01-01,2.16360818410451,2020-01-01
-33.75,20.75,2020,1,1,4.47,9.45,3.38,2020-01-01,2.25221230240391,2020-01-01
-33.25,18.75,2020,1,1,5.71,8.85,3.25,2020-01-01,2.076130167878,2020-01-01
-33.25,19.25,2020,1,1,4.61,8.07,3.38,2020-01-01,1.937158179906,2020-01-01
-33.25,19.75,2020,1,1,4.63,7.89,3.38,2020-01-01,1.89600649124178,2020-01-01
-33.25,20.25,2020,1,1,4.79,7.98,3.38,2020-01-01,1.91094483049462,2020-01-01
-33.25,20.75,2020,1,1,4.59,8.21,3.38,2020-01-01,1.96931243462077,2020-01-01
-32.75,19.25,2020,1,1,4.68,7.6,3.52,2020-01-01,1.82911700537904,2020-01-01
-32.75,19.75,2020,1,1,4.63,7.23,3.52,2020-01-01,1.74754883107579,2020-01-01
-32.75,20.25,2020,1,1,4.88,7.01,3.53,2020-01-01,1.68977249570781,2020-01-01
-32.75,20.75,2020,1,1,5.11,7.02,3.53,2020-01-01,1.68439464144086,2020-01-01
-32.25,19.25,2020,1,1,4.49,7.45,3.52,2020-01-01,1.80167736903954,2020-01-01
-32.25,19.75,2020,1,1,4.5,6.76,3.52,2020-01-01,1.64614001546562,2020-01-01
